member_id,mandaatgroep,mandaat,belangrijk_mandaat,datum_van,datum_tot
4610,Lokale mandaten,"schepen seniorenbeleid, gebouwenbeheer, begraafplaatsen, integratie en Vlaams karakter Hoeilaart",N,2024-02-26T00:00:00+0100,2024-12-05T23:59:59+0100
4610,Lokale mandaten,"schepen sport, wonen, energie, kinderwelzijn en onderwijs Hoeilaart",N,2013-01-02T00:00:00+0100,2020-09-30T23:59:59+0200
4610,Minister,staatssecretaris voor Begroting en Consumentenbescherming,N,2020-10-01T00:00:00+0200,2022-11-18T23:59:59+0100
4444,Lokale mandaten,gemeenteraadslid Lubbeek,N,2024-12-05T00:00:00+0100,
4444,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4661,Lokale mandaten,burgemeester Roeselare,N,2016-03-01T00:00:00+0100,
4661,Lokale mandaten,gemeenteraadslid Roeselare,N,2007-01-01T00:00:00+0100,
4661,Lokale mandaten,schepen Roeselare,N,2006-01-01T00:00:00+0100,2016-02-29T23:59:59+0100
4661,Lokale mandaten,voorzitter raad van bestuur West-Vlaamse Intercommunale (WVI),J,2019-01-01T00:00:00+0100,2024-12-31T23:59:59+0100
4613,Lokale mandaten,gemeenteraadslid Beernem,N,2013-01-01T00:00:00+0100,
4613,Lokale mandaten,schepen Beernem,N,2013-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
4070,Lokale mandaten,burgemeester Sint-Gilis-Waas,N,2024-12-05T00:00:00+0100,
4070,Lokale mandaten,OCMW-raadslid Sint-Gillis-Waas,N,2019-01-03T00:00:00+0100,
4070,Lokale mandaten,gemeenteraadslid Sint-Gillis-Waas,N,2019-01-03T00:00:00+0100,
2838,Lokale mandaten,OCMW-raadslid Gent,N,1995-01-01T00:00:00+0100,2000-01-01T00:00:00+0100
2838,Lokale mandaten,gemeenteraadslid Gent,N,1995-10-23T00:00:00+0100,
2838,Lokale mandaten,provincieraadslid Oost-Vlaanderen,N,1994-05-11T00:00:00+0200,1994-10-21T00:00:00+0100
2838,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
2838,Europese mandaten,plaatsvervangend lid van de Raadgevende Interparlementaire Beneluxraad,N,2009-09-28T00:00:00+0200,2014-05-24T00:00:00+0200
2838,Europese mandaten,plaatsvervangend lid van de Raadgevende Interparlementaire Beneluxraad,N,2004-09-27T00:00:00+0200,2009-06-07T00:00:00+0200
2838,Europese mandaten,vast lid van de Benelux Interparlementaire Assemblee,N,2019-12-06T00:00:00+0100,
4432,Lokale mandaten,OCMW-raadslid Roeselare,N,2000-01-01T00:00:00+0100,2012-12-31T23:59:59+0100
4432,Lokale mandaten,gemeenteraadslid Roeselare,N,2013-01-01T00:00:00+0100,
4432,Lokale mandaten,provincieraadslid West-Vlaanderen,N,2006-10-01T00:00:00+0200,2019-06-17T23:59:59+0200
4614,Lokale mandaten,gemeenteraadslid Mechelen,N,2024-12-02T00:00:00+0100,
4614,Lokale mandaten,gemeenteraadslid Halle,N,2007-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
4525,Lokale mandaten,gemeenteraadslid Gent,N,2019-01-01T00:00:00+0100,
4525,Lokale mandaten,fractievoorzitter in de gemeenteraad Gent,N,2019-01-01T00:00:00+0100,
4525,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4525,Federale mandaten,deelstaatsenator,N,2022-04-29T00:00:00+0200,2024-05-27T23:59:59+0200
4612,Lokale mandaten,gemeenteraadslid Leuven,N,2019-01-02T00:00:00+0100,2024-12-01T23:59:59+0100
2791,Lokale mandaten,OCMW-raadslid Zottegem,N,2019-01-07T00:00:00+0100,
2791,Lokale mandaten,OCMW-voorzitter Zottegem,N,2004-04-01T00:00:00+0200,2018-12-31T23:59:59+0100
2791,Lokale mandaten,OCMW-raadslid Zottegem,N,2001-04-01T00:00:00+0200,2004-03-31T23:59:59+0200
2791,Lokale mandaten,gemeenteraadslid Zottegem,N,2013-01-01T00:00:00+0100,
2791,Lokale mandaten,schepen Zottegem,N,2013-01-02T00:00:00+0100,2019-01-06T23:59:59+0100
2791,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4395,Lokale mandaten,gemeenteraadslid Gent,N,2013-01-02T00:00:00+0100,
4395,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,
4395,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4395,Federale mandaten,voorzitter van de Senaat,N,2020-10-13T00:00:00+0200,2024-07-18T23:59:59+0200
4615,Lokale mandaten,gemeenteraadslid Mol,N,2013-01-01T00:00:00+0100,2019-06-24T23:59:59+0200
4615,Lokale mandaten,provincieraadslid Antwerpen,N,2012-12-01T00:00:00+0100,2024-07-01T23:59:59+0200
4615,Federale mandaten,deelstaatsenator,N,2024-07-18T00:00:00+0200,2025-03-28T23:59:59+0100
4074,Lokale mandaten,burgemeester Ninove,N,2024-12-05T00:00:00+0100,
4074,Lokale mandaten,lid Bijzonder Comité voor de Sociale Dienst Ninove,N,2019-01-03T00:00:00+0100,
4074,Lokale mandaten,OCMW-raadslid Ninove,N,1995-02-01T00:00:00+0100,
4074,Lokale mandaten,gemeenteraadslid Ninove,N,1995-01-03T00:00:00+0100,
4074,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4074,Federale mandaten,deelstaatsenator,N,2014-07-03T00:00:00+0200,2019-05-23T23:59:59+0200
4074,Federale mandaten,volksvertegenwoordiger kieskring Oost-Vlaanderen,N,2010-06-13T00:00:00+0200,2014-05-24T23:59:59+0200
4074,Federale mandaten,volksvertegenwoordiger kieskring Oost-Vlaanderen,N,2007-06-10T00:00:00+0200,2010-06-12T23:59:59+0200
4074,Federale mandaten,volksvertegenwoordiger kieskring Oost-Vlaanderen,N,2003-05-18T00:00:00+0200,2007-06-09T23:59:59+0200
4074,Federale mandaten,volksvertegenwoordiger kieskring Aalst-Oudenaarde,N,1999-06-13T00:00:00+0200,2003-05-17T23:59:59+0200
4074,Federale mandaten,quaestor van de Kamer van Volksvertegenwoordigers,N,2007-07-12T00:00:00+0200,2010-06-12T23:59:59+0200
4074,Federale mandaten,fractievoorzitter in de Senaat,N,2019-07-18T00:00:00+0200,2024-05-27T23:59:59+0200
4411,Lokale mandaten,gemeenteraadslid Antwerpen,N,2025-01-02T00:00:00+0100,
4411,Lokale mandaten,lid van de districtsraad Borgerhout,N,2019-01-08T00:00:00+0100,2022-06-26T23:59:59+0200
4411,Federale mandaten,deelstaatsenator,N,2019-07-04T00:00:00+0200,2024-05-27T23:59:59+0200
4659,Lokale mandaten,gemeenteraadslid Lokeren,N,2019-01-03T00:00:00+0100,
4659,Federale mandaten,deelstaatsenator,N,2024-12-13T00:00:00+0100,
4659,Europese mandaten,plaatsvervangend lid van de Parlementaire Vergadering van de Raad van Europa,N,2024-12-13T00:00:00+0100,
1803,Lokale mandaten,gemeenteraadslid Antwerpen,N,1995-01-10T00:00:00+0100,
1803,Lokale mandaten,provincieraadslid Antwerpen,N,1985-01-01T00:00:00+0100,1987-01-01T00:00:00+0100
1803,Federale mandaten,volksvertegenwoordiger kieskring Antwerpen,N,2014-05-25T00:00:00+0200,2019-05-25T00:00:00+0200
1803,Federale mandaten,gemeenschapssenator,N,2010-07-13T00:00:00+0200,2014-05-24T00:00:00+0200
1803,Federale mandaten,volksvertegenwoordiger arrondissement Antwerpen,N,1991-11-24T00:00:00+0100,1995-05-20T00:00:00+0200
1803,Federale mandaten,volksvertegenwoordiger arrondissement Antwerpen,N,1987-12-13T00:00:00+0100,1991-11-23T23:59:59+0100
4616,Lokale mandaten,gemeenteraadslid Keerbergen,N,2024-12-02T00:00:00+0100,
4616,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2004-06-13T00:00:00+0200,2009-06-06T23:59:59+0200
4075,Lokale mandaten,burgemeester Ledegem,N,2007-01-01T00:00:00+0100,
4075,Lokale mandaten,gemeenteraadslid Ledegem,N,2001-01-01T00:00:00+0100,
4711,Lokale mandaten,lid van de districtsraad Borgerhout,N,2025-01-06T00:00:00+0100,
4738,Lokale mandaten,gemeenteraadslid Arendonk,N,2007-01-01T00:00:00+0100,
4738,Lokale mandaten,schepen Arendonk,N,2019-01-03T00:00:00+0100,2024-12-05T23:59:59+0100
4738,Lokale mandaten,schepen Arendonk,N,2013-01-01T00:00:00+0100,2018-12-31T23:59:59+0100
4397,Mandaten in andere deelstaatparlementen,lid van het Brussels Hoofdstedelijk Parlement,N,2016-05-27T00:00:00+0200,2019-05-25T00:00:00+0200
3445,Lokale mandaten,gemeenteraadslid Mechelen,N,2001-01-02T00:00:00+0100,
3445,Lokale mandaten,eerste schepen Mechelen,N,2013-01-02T00:00:00+0100,2019-01-01T23:59:59+0100
3445,Federale mandaten,deelstaatsenator,N,2025-04-25T00:00:00+0200,
3445,Europese mandaten,plaatsvervangend lid van het Comité van de Regio's,N,2015-01-26T00:00:00+0100,2020-01-25T23:59:59+0100
3445,Europese mandaten,lid van het Comité van de Regio's,N,2012-10-16T00:00:00+0200,2015-01-25T23:59:59+0100
3445,Europese mandaten,plaatsvervangend lid van het Comité van de Regio's,N,2010-01-26T00:00:00+0100,2012-10-15T23:59:59+0200
3445,Europese mandaten,vast lid van de Raadgevende Interparlementaire Beneluxraad,N,2014-09-24T00:00:00+0200,2019-05-25T23:59:59+0200
3445,Europese mandaten,vast lid van de Raadgevende Interparlementaire Beneluxraad,N,2009-09-28T00:00:00+0200,2014-05-24T23:59:59+0200
4399,Lokale mandaten,OCMW-voorzitter Herk-de-Stad,N,2013-01-07T00:00:00+0100,2018-12-31T23:59:59+0100
4399,Lokale mandaten,gemeenteraadslid Herk-de-Stad,N,2013-01-02T00:00:00+0100,2024-12-31T23:59:59+0100
