member_id,belangrijk_mandaat,titel,omschrijving,datum_van,datum_tot,commissie_id,commissie_afkorting,commissie_titel
4601,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4601,J,Commissie voor Binnenlands Bestuur en Inburgering,vast lid,2024-10-09T16:45:00+0200,,1832489,BIN,Commissie voor Binnenlands Bestuur en Inburgering
4601,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",vast lid,2024-10-09T16:45:00+0200,,1832493,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
4601,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast lid,2025-06-04T14:10:00+0200,,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4603,J,Commissie voor Onderwijs,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4603,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",vast lid,2025-07-16T09:10:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4603,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,tweede ondervoorzitter,2024-11-20T14:00:00+0100,,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4603,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,2025-07-16T09:10:59+0200,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4603,J,"Commissie voor Wonen, Toerisme, Energie en Klimaat",vast lid,2024-10-09T16:45:00+0200,2025-07-16T08:59:59+0200,1832499,WON,"Commissie voor Wonen, Toerisme, Energie en Klimaat"
4603,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast lid,2024-10-09T16:45:00+0200,2024-11-20T13:59:59+0100,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4384,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832494,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4384,J,Commissie voor Onderwijs,vast lid,2024-10-09T16:45:00+0200,,1832497,OND,Commissie voor Onderwijs
4384,J,Commissie ad hoc,vast lid,2024-07-04T14:00:00+0200,2024-10-09T16:44:59+0200,1829775,AH,Commissie ad hoc
4384,J,"Commissie voor Landbouw, Visserij en Plattelandsbeleid",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333137,LAN,"Commissie voor Landbouw, Visserij en Plattelandsbeleid"
4384,J,Commissie voor Mobiliteit en Openbare Werken,plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333200,OPE,Commissie voor Mobiliteit en Openbare Werken
4384,J,Commissie voor de bestrijding van gewelddadige radicalisering,plaatsvervangend lid,2019-12-18T14:00:00+0100,2024-06-08T23:59:59+0200,1352845,RAD,Commissie voor de bestrijding van gewelddadige radicalisering
4384,J,Commissie voor Onderwijs,vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333231,OND,Commissie voor Onderwijs
4384,J,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid,vast lid,2020-10-21T14:00:00+0200,2020-12-31T23:59:59+0100,1396349,COR,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid
4388,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832493,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
4388,J,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832495,LEE,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening"
4388,J,Commissie voor Reglement en Samenwerking,plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832500,REG,Commissie voor Reglement en Samenwerking
4388,J,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend lid,2024-10-09T16:45:00+0200,,1832498,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen"
4388,J,Controlecommissie voor Regeringsmededelingen,vast lid,2024-10-09T16:45:00+0200,,1832502,MED,Controlecommissie voor Regeringsmededelingen
4388,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast lid,2024-10-09T16:45:00+0200,,1832504,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4388,J,Vlaamse Opvolgingscommissie voor de Vermogens- en Mandatenaangifte,vast lid,2024-10-09T16:45:00+0200,,1832505,MAN,Vlaamse Opvolgingscommissie voor de Vermogens- en Mandatenaangifte
4388,J,Commissie voor Binnenlands Bestuur en Inburgering,eerste ondervoorzitter,2024-10-09T16:45:00+0200,,1832489,BIN,Commissie voor Binnenlands Bestuur en Inburgering
4388,J,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1332937,FIN,"Commissie voor Algemeen Beleid, Financiën, Begroting en Justitie"
4388,J,"Commissie voor Welzijn, Volksgezondheid, Gezin en Armoedebestrijding",plaatsvervangend lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333260,WEL,"Commissie voor Welzijn, Volksgezondheid, Gezin en Armoedebestrijding"
4388,J,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333088,ECO,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie"
4388,J,Vlaamse Controlecommissie voor de Verkiezingsuitgaven,vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333276,UIT,Vlaamse Controlecommissie voor de Verkiezingsuitgaven
4388,J,Vlaamse Opvolgingscommissie voor de Vermogens- en Mandatenaangifte,vast lid,2019-10-09T14:00:00+0200,2024-06-08T23:59:59+0200,1333281,MAN,Vlaamse Opvolgingscommissie voor de Vermogens- en Mandatenaangifte
4388,J,"Commissie voor Binnenlands Bestuur, Gelijke Kansen en Inburgering",vast lid,2020-05-13T14:00:00+0200,2024-06-08T23:59:59+0200,1332966,BIN,"Commissie voor Binnenlands Bestuur, Gelijke Kansen en Inburgering"
4388,J,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid,plaatsvervangend lid,2020-06-03T14:00:00+0200,2020-12-31T23:59:59+0100,1396349,COR,Commissie ad hoc voor de Evaluatie en Verdere Uitvoering van het Vlaamse Coronabeleid
