fractie_id,member_id,volledige_naam,voornaam,naam,kieskring,zetel,deelstaatsenator,is_huidige_vv,self_opendata_url,fotowebpath
1829398,4386,Adeline Blancquaert,Adeline,Blancquaert,Kieskring Oost-Vlaanderen,48,False,J,https://ws.vlpar.be/e/opendata/vv/4386?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482587
1829398,4387,Filip Brusselmans,Filip,Brusselmans,Kieskring Oost-Vlaanderen,3,False,J,https://ws.vlpar.be/e/opendata/vv/4387?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482451
1829398,4388,Yves Buysse,Yves,Buysse,Kieskring West-Vlaanderen,81,True,J,https://ws.vlpar.be/e/opendata/vv/4388?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482490
1829398,4390,Bart Claes,Bart,Claes,Kieskring Antwerpen,15,False,J,https://ws.vlpar.be/e/opendata/vv/4390?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482443
1829398,4608,Mercina Claesen,Mercina,Claesen,Kieskring Limburg,63,False,J,https://ws.vlpar.be/e/opendata/vv/4608?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065041
1829398,2838,Johan Deckmyn,Johan,Deckmyn,Kieskring Oost-Vlaanderen,46,True,J,https://ws.vlpar.be/e/opendata/vv/2838?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482463
1829398,4432,Immanuel De Reuse,Immanuel,De Reuse,Kieskring West-Vlaanderen,16,False,J,https://ws.vlpar.be/e/opendata/vv/4432?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482458
1829398,4614,Dries Devillé,Dries,Devillé,Kieskring Antwerpen,62,False,J,https://ws.vlpar.be/e/opendata/vv/4614?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065749
1829398,1803,Filip Dewinter,Filip,Dewinter,Kieskring Antwerpen,28,False,J,https://ws.vlpar.be/e/opendata/vv/1803?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482452
1829398,4074,Guy D'haeseleer,Guy,D'haeseleer,Kieskring Oost-Vlaanderen,105,False,J,https://ws.vlpar.be/e/opendata/vv/4074?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1541981
1829398,4616,Frédéric Erens,Frédéric,Erens,Kieskring Vlaams-Brabant,108,False,J,https://ws.vlpar.be/e/opendata/vv/4616?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=2065748
1829398,3418,Chris Janssens,Chris,Janssens,Kieskring Limburg,1,False,J,https://ws.vlpar.be/e/opendata/vv/3418?lang=nl,https://docs.vlaamsparlement.be/files/pfile?id=1482447
