member_id,titel,werkgever,datum_van,datum_tot,datum_van_formaat,datum_tot_formaat
4406,adviseur communicatie,Vlaams minister Freya Van den Bossche,2013-01-01T00:00:00+0100,2014-01-01T00:00:00+0100,YYYY,YYYY
4406,adviseur communicatie,sp.a,2015-01-01T00:00:00+0100,2017-01-01T00:00:00+0100,YYYY,YYYY
4406,directeur communicatie,sp.a,2017-01-01T00:00:00+0100,2019-01-01T00:00:00+0100,YYYY,YYYY
4744,Maatschappelijk werker,JAC,2020-01-01T00:00:00+0100,2020-12-31T23:59:59+0100,YYYY,YYYY
4744,Kabinetsmedewerker Frank Vandenbroucke,,2020-01-01T00:00:00+0100,2025-12-31T23:59:59+0100,YYYY,YYYY
4744,Maatschappelijk werker,CLB,2025-01-01T00:00:00+0100,2026-01-20T23:59:59+0100,YYYY,DD-MM-YYYY
3221,bediende,Ethias verzekeringen,2000-01-01T00:00:00+0100,2001-01-01T00:00:00+0100,YYYY,YYYY
3221,dossierbeheerder,AXA verzekeringen,2001-01-01T00:00:00+0100,2002-01-01T00:00:00+0100,YYYY,YYYY
3221,bediende,Xios Hogeschool,2002-01-01T00:00:00+0100,2003-01-01T00:00:00+0100,YYYY,YYYY
4409,leerkracht,Instituut Maria Middelares,1995-09-01T00:00:00+0200,1998-02-28T00:00:00+0100,DD-MM-YYYY,DD-MM-YYYY
4409,wetenschappelijk medewerker,UGent,1996-03-01T00:00:00+0100,1998-02-28T00:00:00+0100,DD-MM-YYYY,DD-MM-YYYY
4409,beleidsmedewerker,Velt vzw,1998-03-01T00:00:00+0100,2004-03-31T00:00:00+0200,DD-MM-YYYY,DD-MM-YYYY
4409,beleidsmedewerker,"Vlaamse overheid, Agentschap voor Natuur en Bos",2004-04-01T00:00:00+0200,2009-12-31T00:00:00+0100,DD-MM-YYYY,DD-MM-YYYY
4409,ingenieur,stad Gent,2010-01-01T00:00:00+0100,2016-06-30T00:00:00+0200,DD-MM-YYYY,DD-MM-YYYY
4409,directeur,stad Gent,2016-07-01T00:00:00+0200,2019-05-21T00:00:00+0200,DD-MM-YYYY,DD-MM-YYYY
4087,aspirant FWO en assistent communicatiewetenschappen,VUBrussel,1989-01-01T00:00:00+0100,1998-01-01T00:00:00+0100,YYYY,YYYY
4087,professor communicatiewetenschappen,VUBrussel,1998-01-01T00:00:00+0100,,YYYY,
4410,vacatureconsulent,VDAB,2003-01-01T00:00:00+0100,2007-01-01T00:00:00+0100,YYYY,YYYY
4410,parlementair medewerker,Vlaams Belang,2007-01-01T00:00:00+0100,2019-01-01T00:00:00+0100,YYYY,YYYY
4412,parlementair medewerker,Brussels Hoofdstedelijk Parlement,2009-01-01T00:00:00+0100,2011-01-01T00:00:00+0100,YYYY,YYYY
4412,nationaal woordvoerder,Vlaams Belang,2011-01-01T00:00:00+0100,2019-01-01T00:00:00+0100,YYYY,YYYY
4416,beroepsmilitair,,1993-01-01T00:00:00+0100,1996-01-01T00:00:00+0100,YYYY,YYYY
4416,administratief medewerker,,2000-01-01T00:00:00+0100,2008-01-01T00:00:00+0100,YYYY,YYYY
4416,zelfstandig hondenkapper,,2010-01-01T00:00:00+0100,,YYYY,
2825,bediende,Blokker NV,1984-01-01T00:00:00+0100,1992-01-01T00:00:00+0100,YYYY,YYYY
2825,bediende,Spanjersberg,1993-01-01T00:00:00+0100,1997-01-01T00:00:00+0100,YYYY,YYYY
2825,arbeider,,1997-01-01T00:00:00+0100,2004-01-01T00:00:00+0100,YYYY,YYYY
4089,leerkracht volwassenenonderwijs,CVO Lethas,2003-01-01T00:00:00+0100,2007-01-01T00:00:00+0100,YYYY,YYYY
4089,medewerker,N-VA Kamerfractie,2007-01-01T00:00:00+0100,2009-01-01T00:00:00+0100,YYYY,YYYY
4089,persoonlijk medewerker,"Vlaams minister van Financiën, Begroting, Werk, Ruimtelijke Ordening en Sport",2009-01-01T00:00:00+0100,2010-01-01T00:00:00+0100,YYYY,YYYY
4648,Zelfstandige Logopediste,,1998-01-01T00:00:00+0100,2010-12-31T23:59:59+0100,YYYY,YYYY
4648,Provinciaal bewegingsverantwoordelijke voor N-VA in de provincie Vlaams-Brabant,,2010-01-01T00:00:00+0100,2015-12-31T23:59:59+0100,YYYY,YYYY
4648,Communicatiemedewerker voor Provinciegouverneur Jan Spooren in Vlaams-Brabant,,2020-01-01T00:00:00+0100,2024-12-31T23:59:59+0100,YYYY,YYYY
4415,huisarts,vzw Geneeskunde voor het Volk,,,,
4728,Jurist,Notariskantoor,2020-01-01T00:00:00+0100,2023-12-31T23:59:59+0100,YYYY,YYYY
3458,adjunct van de directie,Stad Gent,1999-01-01T00:00:00+0100,2000-12-31T23:59:59+0100,YYYY,YYYY
3458,klinisch psychologe,Karus,2018-01-01T00:00:00+0100,2023-12-31T23:59:59+0100,YYYY,YYYY
3458,klinisch psychologe,zelfstandige,2024-01-01T00:00:00+0100,,YYYY,
4095,advocate/fiscaliste,,1997-01-01T00:00:00+0100,2007-01-01T00:00:00+0100,YYYY,YYYY
4425,leerkracht secundair onderwijs,Technisch Instituut Immaculata Ieper,2002-09-01T00:00:00+0200,,DD-MM-YYYY,
4425,parlementair medewerker,Vlaams Parlement,,2019-05-26T00:00:00+0200,,DD-MM-YYYY
4102,zelfstandig advocaat,,1994-01-01T00:00:00+0100,2014-01-01T00:00:00+0100,YYYY,YYYY
4643,Politieagent,Politie Antwerpen,1992-01-01T00:00:00+0100,2000-12-31T23:59:59+0100,YYYY,YYYY
4643,Zelfstandig ondernemer in de sport- en vastgoedsector,,2000-01-01T00:00:00+0100,2024-12-31T23:59:59+0100,YYYY,YYYY
4064,Prokorist-Vertriebsleiter,Miko-Hordijk GmbH,2001-01-01T00:00:00+0100,2014-01-01T00:00:00+0100,YYYY,YYYY
4443,Gastprofessor Bestuursrecht,Universiteit Gent,2025-10-01T00:00:00+0200,,DD-MM-YYYY,
4429,kwaliteitscontroleur,Delacre (Vilvoorde),1986-01-01T00:00:00+0100,1992-12-31T23:59:59+0100,YYYY,YYYY
4429,Logistiek assistente,UZ Leuven,1993-04-01T00:00:00+0200,2019-08-31T23:59:59+0200,DD-MM-YYYY,DD-MM-YYYY
